Job titiles,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain
Computational Biologist,40%,466,1399,0.3330950679056469,Data & IT
Environmental Chemist,40%,511,1558,0.32798459563543003,Administrative & Clerical
Environmental Scientist,40%,521,1566,0.3326947637292465,Leadership & Strategy
Lab Technologist,40%,375,1584,0.23674242424242425,Medical & Healthcare
Laboratory Analyst,40%,398,1602,0.2484394506866417,Supply Chain & Logistics
Radiology Technician,40%,219,861,0.25435540069686413,Law Enforcement
Research Associate,40%,614,1947,0.31535695942475606,Construction
Accounting Auditor,40%,680,2109,0.32242769084874345,Sales & Marketing
Accounts Payable Specialist,40%,713,2244,0.3177361853832442,Hospitality
Accounts Receivable Specialist,40%,713,2253,0.31646693297825124,Communication & PR
Audit Associate,40%,647,2057,0.3145357316480311,Data & IT
Billing Analyst,40%,716,2273,0.31500219973603166,Administrative & Clerical
Budget Manager,40%,676,2240,0.30178571428571427,Leadership & Strategy
Budget Officer,40%,669,2235,0.2993288590604027,Medical & Healthcare
CPA,40%,540,1635,0.3302752293577982,Supply Chain & Logistics
Certified Public Accountant,40%,542,1637,0.33109346365302383,Law Enforcement
Chartered Accountant,40%,547,1642,0.3331303288672351,Construction
Collection Manager,40%,583,1844,0.31616052060737526,Sales & Marketing
Collection Supervisor,40%,578,1919,0.30119854090672227,Hospitality
Credit Counselor,40%,642,2075,0.30939759036144576,Communication & PR
Financial Counselor,40%,676,2113,0.31992427827733083,Data & IT
Financial Reporting Manager,40%,741,2194,0.33773928896991795,Administrative & Clerical
Investment Analyst,40%,764,2456,0.31107491856677527,Leadership & Strategy
Loan Analyst,40%,750,2337,0.3209242618741977,Medical & Healthcare
Portfolio Analyst,40%,547,1795,0.30473537604456824,Supply Chain & Logistics
Treasury Analyst,40%,595,2047,0.2906692721055203,Law Enforcement
Underwriter,40%,706,2654,0.26601356443104746,Construction
Case Manager,40%,784,2544,0.3081761006289308,Sales & Marketing
Clinical Supervisor,40%,388,1202,0.3227953410981697,Hospitality
Health Information Manager,40%,735,2315,0.3174946004319654,Communication & PR
Healthcare Recruiter,40%,700,2253,0.31069684864624947,Data & IT
Intake Specialist,40%,628,1833,0.342607746863066,Administrative & Clerical
Medical Case Manager,40%,572,1693,0.33786178381571175,Leadership & Strategy
Medical Information Specialist,40%,765,2450,0.3122448979591837,Medical & Healthcare
Medical Manager,40%,597,1739,0.3433007475560667,Supply Chain & Logistics
Medical Scheduler,40%,518,1687,0.3070539419087137,Law Enforcement
Patient Financial Counselor,40%,419,1484,0.28234501347708896,Construction
Patient Registrar,40%,369,1359,0.271523178807947,Sales & Marketing
Patient Service Representative,40%,386,1468,0.26294277929155313,Hospitality
Patient Service Specialist,40%,394,1479,0.26639621365787697,Communication & PR
Patient Services Representative,40%,392,1473,0.2661235573659199,Data & IT
Screener,40%,273,949,0.2876712328767123,Administrative & Clerical
Criminal Investigator,40%,517,1512,0.3419312169312169,Leadership & Strategy
Food Inspector,40%,345,1217,0.28348397699260475,Medical & Healthcare
Game Warden,40%,320,1001,0.3196803196803197,Supply Chain & Logistics
Regulatory Specialist,40%,604,1904,0.3172268907563025,Law Enforcement
Cargo Agent,40%,597,2088,0.2859195402298851,Construction
Inventory Planner,40%,791,2569,0.3079019073569482,Sales & Marketing
Logistics Administrator,40%,749,2422,0.3092485549132948,Hospitality
Logistics Analyst,40%,814,2675,0.30429906542056073,Communication & PR
Logistics Planner,40%,756,2500,0.3024,Data & IT
Purchasing Specialist,40%,530,1717,0.30867792661619103,Administrative & Clerical
Senior Buyer,40%,449,1512,0.296957671957672,Leadership & Strategy
Supply Chain Planner,40%,670,2481,0.27005239822652155,Medical & Healthcare
Certified Personal Trainer,40%,551,1737,0.31721358664363847,Supply Chain & Logistics
Anchor,40%,697,2170,0.32119815668202767,Law Enforcement
Broadcast Journalist,40%,756,2331,0.32432432432432434,Construction
Communications,40%,841,2410,0.34896265560165973,Sales & Marketing
Communications Officer,40%,842,2542,0.33123524783634933,Hospitality
Content Specialist,40%,986,3369,0.29266844761056693,Communication & PR
Creative Producer,40%,898,3016,0.29774535809018565,Data & IT
Proofreader,40%,430,1728,0.2488425925925926,Administrative & Clerical
Sound Technician,40%,424,1317,0.3219438116932422,Leadership & Strategy
Technical Designer,40%,583,2311,0.25227174383383816,Medical & Healthcare
Qa Analyst,40%,643,1948,0.330082135523614,Supply Chain & Logistics
Clinical Nurse Educator,40%,386,1041,0.37079731027857826,Law Enforcement
Computer Teacher,40%,562,1344,0.4181547619047619,Construction
Early Childhood Education,40%,440,1092,0.40293040293040294,Sales & Marketing
Education Consultant,40%,618,1955,0.31611253196930944,Hospitality
Head Start Teacher,40%,399,1196,0.33361204013377926,Communication & PR
Library Technician,40%,521,1849,0.2817739318550568,Data & IT
Online Instructor,40%,846,2784,0.30387931034482757,Administrative & Clerical
School Administrator,40%,491,1714,0.2864644107351225,Leadership & Strategy
Substitute Teacher,40%,470,1701,0.27630805408583187,Medical & Healthcare
Test Proctor,40%,463,1638,0.28266178266178266,Supply Chain & Logistics
Training Coordinator,40%,676,2242,0.3015165031222123,Law Enforcement
Training Supervisor,40%,655,2201,0.2975920036347115,Construction
Agent,40%,648,2044,0.31702544031311153,Sales & Marketing
Aircraft Painter,40%,403,1500,0.26866666666666666,Hospitality
Art Director,40%,686,2666,0.25731432858214554,Communication & PR
Assistant Art Director,40%,658,2252,0.2921847246891652,Data & IT
Character Artist,40%,737,2724,0.27055800293685756,Administrative & Clerical
Concept Artist,40%,786,2804,0.28031383737517834,Leadership & Strategy
Creative Consultant,40%,827,2896,0.28556629834254144,Medical & Healthcare
Designer,40%,745,2746,0.2713037144938092,Supply Chain & Logistics
Drone Pilot,40%,357,1046,0.34130019120458893,Law Enforcement
Illustrator,40%,468,2014,0.2323733862959285,Construction
Industrial Painter,40%,182,966,0.18840579710144928,Sales & Marketing
Technical Writer,40%,715,2803,0.25508383874420265,Hospitality
Ticketing Agent,40%,495,1754,0.282212086659065,Communication & PR
Video Game Tester,40%,532,1838,0.28944504896626766,Data & IT
Anesthesiologist Assistant,40%,382,1277,0.29913860610806575,Administrative & Clerical
Cardiac Sonographer,40%,403,1376,0.2928779069767442,Leadership & Strategy
Cardiovascular Technologist,40%,417,1411,0.29553508150248053,Medical & Healthcare
Certified Occupational Therapy Assistant,40%,438,1476,0.2967479674796748,Supply Chain & Logistics
Certified Pharmacy Technician,40%,232,722,0.32132963988919666,Law Enforcement
Clinical Exercise Physiologist,40%,283,904,0.31305309734513276,Construction
Dosimetrist,40%,199,646,0.3080495356037152,Sales & Marketing
Er Rn,40%,214,523,0.4091778202676864,Hospitality
Health Inspector,40%,300,903,0.33222591362126247,Communication & PR
Hearing Aid Specialist,40%,301,1053,0.2858499525166192,Data & IT
Hearing Instrument Specialist,40%,297,1049,0.2831267874165872,Administrative & Clerical
Medical Illustrator,40%,487,2085,0.23357314148681055,Leadership & Strategy
Medical Physicist,40%,305,1065,0.2863849765258216,Medical & Healthcare
Pharmacist Technician,40%,238,1071,0.2222222222222222,Supply Chain & Logistics
Pharmacy Technician,40%,248,1012,0.2450592885375494,Law Enforcement
Phlebotomy,40%,171,710,0.24084507042253522,Construction
Phlebotomy Technician,40%,177,714,0.24789915966386555,Sales & Marketing
Radiology Manager,40%,331,1271,0.26042486231313927,Hospitality
Specimen Processor,40%,325,1144,0.2840909090909091,Communication & PR
Sterile Processing Technician,40%,274,1052,0.26045627376425856,Data & IT
Surgical Technician,40%,265,887,0.2987598647125141,Administrative & Clerical
Surgical Technologist,40%,266,910,0.2923076923076923,Leadership & Strategy
Aircraft Fueler,40%,394,1326,0.2971342383107089,Medical & Healthcare
Aircraft Technician,40%,434,1406,0.30867709815078237,Supply Chain & Logistics
Atm Technician,40%,442,1466,0.3015006821282401,Law Enforcement
Automation Specialist,40%,598,1883,0.3175783324482209,Construction
Aviation Technician,40%,434,1419,0.3058491895701198,Sales & Marketing
Calibration Technician,40%,478,1599,0.29893683552220135,Hospitality
Electronics Technician,40%,339,966,0.35093167701863354,Communication & PR
Equipment Technician,40%,251,781,0.3213828425096031,Data & IT
Forklift Mechanic,40%,121,503,0.24055666003976142,Administrative & Clerical
Generalist,40%,527,1657,0.31804465902232953,Leadership & Strategy
Hvac Service Technician,40%,270,1079,0.25023169601482853,Medical & Healthcare
Hvac Technician,40%,272,1080,0.2518518518518518,Supply Chain & Logistics
Janitorial Manager,40%,355,1277,0.27799530148786217,Law Enforcement
Maintenance Manager,40%,407,1380,0.29492753623188406,Construction
Maintenance Superintendent,40%,397,1376,0.28851744186046513,Sales & Marketing
Newspaper Delivery,40%,409,1411,0.2898653437278526,Hospitality
Parking Enforcement Officer,40%,148,558,0.26523297491039427,Communication & PR
Sewing,40%,143,512,0.279296875,Data & IT
Theater Manager,40%,472,1739,0.2714203565267395,Administrative & Clerical
Watchmaker,40%,157,643,0.24416796267496113,Leadership & Strategy
Assistant Buyer,40%,710,2168,0.3274907749077491,Medical & Healthcare
Associate Buyer,40%,710,2181,0.3255387436955525,Supply Chain & Logistics
Automation Technician,40%,557,1796,0.3101336302895323,Law Enforcement
Cmm Programmer,40%,295,919,0.32100108813928185,Construction
Controls Technician,40%,304,964,0.3153526970954357,Sales & Marketing
Inventory,40%,539,1778,0.3031496062992126,Hospitality
Manufacturing Analyst,40%,638,2158,0.29564411492122333,Communication & PR
Manufacturing Technician,40%,432,1757,0.2458736482640865,Data & IT
Material Handler,40%,352,1212,0.29042904290429045,Administrative & Clerical
Order Builder,40%,341,1195,0.28535564853556483,Leadership & Strategy
Order Picker,40%,345,1200,0.2875,Medical & Healthcare
Order Puller,40%,343,1198,0.2863105175292154,Supply Chain & Logistics
Picker,40%,154,584,0.2636986301369863,Law Enforcement
Production Operator,40%,250,1013,0.24679170779861798,Construction
Deli Manager,40%,541,1803,0.3000554631170272,Sales & Marketing
Director Of Development,40%,829,2430,0.3411522633744856,Hospitality
Business Development Officer,40%,958,2883,0.3322927506070066,Communication & PR
Field Representative,40%,682,2146,0.31780055917986955,Data & IT
Dialysis Nurse,40%,453,1512,0.2996031746031746,Administrative & Clerical
Oncology Nurse,40%,444,1475,0.30101694915254235,Leadership & Strategy
Service Delivery Manager,40%,772,2336,0.3304794520547945,Medical & Healthcare
Excavator Operator,40%,306,1146,0.2670157068062827,Supply Chain & Logistics
Claim Representative,40%,723,2147,0.3367489520260829,Law Enforcement
Insurance Manager,40%,700,2137,0.32756200280767434,Construction
Auto Body Technician,40%,412,1409,0.29240596167494676,Sales & Marketing
Dental Office Manager,40%,651,2087,0.31193100143747005,Hospitality
Configuration Manager,40%,701,2069,0.3388110198163364,Communication & PR
Clinical Nurse,40%,458,1509,0.3035122597746852,Data & IT
Events Assistant,40%,758,2237,0.33884666964684845,Administrative & Clerical
Transportation Dispatcher,40%,719,2282,0.31507449605609117,Leadership & Strategy
Bar Manager,40%,564,1815,0.31074380165289256,Medical & Healthcare
Family Nurse Practitioner,40%,450,1494,0.30120481927710846,Supply Chain & Logistics
Nurse Clinician,40%,452,1493,0.30274614869390487,Law Enforcement
Assembly Technician,40%,437,1436,0.3043175487465181,Construction
Night Manager,40%,430,1380,0.3115942028985507,Sales & Marketing
Reservation Specialist,40%,614,2138,0.2871842843779233,Hospitality
Reservationist,40%,570,2011,0.2834410740924913,Communication & PR
Reservations Agent,40%,565,2015,0.2803970223325062,Data & IT
Restaurant General Manager,40%,392,1308,0.2996941896024465,Administrative & Clerical
Restaurant Supervisor,40%,384,1285,0.2988326848249027,Leadership & Strategy
Server,40%,206,666,0.30930930930930933,Medical & Healthcare
Server Assistant,40%,246,708,0.3474576271186441,Supply Chain & Logistics
Travel Assistant,40%,708,2151,0.3291492329149233,Law Enforcement
Behavioral Technician,40%,134,948,0.14135021097046413,Construction
Nursing Home Administrator,40%,440,1692,0.26004728132387706,Sales & Marketing
Youth Program Director,40%,771,2366,0.3258664412510566,Hospitality
Air Marshal,40%,41,325,0.12615384615384614,Communication & PR
Court Security Officer,40%,339,1079,0.31417979610750696,Data & IT
Detective,40%,400,1195,0.33472803347280333,Administrative & Clerical
Forensic Investigator,40%,419,1269,0.3301812450748621,Leadership & Strategy
Gunsmith,40%,140,555,0.25225225225225223,Medical & Healthcare
Investigator,40%,473,1414,0.3345120226308345,Supply Chain & Logistics
Security Supervisor,40%,283,998,0.2835671342685371,Law Enforcement
Cisco Engineer,40%,95,623,0.15248796147672553,Construction
Cisco Network Engineer,40%,95,623,0.15248796147672553,Sales & Marketing
Computer Operator,40%,457,1300,0.3515384615384615,Hospitality
Controls Engineer,40%,453,1254,0.361244019138756,Communication & PR
Digital Account Manager,39%,560,1606,0.34869240348692404,Data & IT
Edi Analyst,38%,524,1437,0.36464857341684065,Administrative & Clerical
Information Security Engineer,38%,491,1373,0.35761107064821557,Leadership & Strategy
Integration Analyst,38%,540,1483,0.3641267700606878,Medical & Healthcare
It Specialist,38%,547,1548,0.35335917312661497,Supply Chain & Logistics
Junior Network Engineer,38%,493,1352,0.3646449704142012,Law Enforcement
Network Consultant,38%,1009,3292,0.30650060753341435,Construction
Network Support Specialist,38%,1025,3395,0.3019145802650957,Sales & Marketing
Salesforce Administrator,38%,1022,3269,0.31263383297644537,Hospitality
Sap Functional Consultant,38%,1025,3289,0.31164487686226816,Communication & PR
Support Technician,38%,1122,3609,0.3108894430590191,Data & IT
Crisis Counselor,38%,397,1224,0.3243464052287582,Administrative & Clerical
Mechanical Drafter,37%,567,1959,0.2894333843797856,Leadership & Strategy
Production Engineer,37%,668,2485,0.2688128772635815,Medical & Healthcare
Security Engineer,37%,631,1968,0.320630081300813,Supply Chain & Logistics
Simulation Engineer,37%,667,2285,0.29190371991247266,Law Enforcement
Underground Miner,36%,286,1124,0.25444839857651247,Construction
Unix Engineer,36%,516,1690,0.30532544378698223,Sales & Marketing
Verification Engineer,36%,506,1628,0.3108108108108108,Hospitality
Voice Engineer,36%,551,1759,0.313246162592382,Communication & PR
Chief Administrative Officer,35%,281,1828,0.1537199124726477,Data & IT
Emergency Management Specialist,35%,403,1291,0.31216111541440744,Administrative & Clerical
Loss Prevention Manager,35%,445,1545,0.28802588996763756,Leadership & Strategy
Proposal Coordinator,35%,984,3525,0.27914893617021275,Medical & Healthcare
Provider Relations Representative,35%,707,2389,0.2959397237337798,Supply Chain & Logistics
Secretary,35%,617,2226,0.2771787960467206,Law Enforcement
Trading Assistant,35%,659,2040,0.32303921568627453,Construction
Volunteer Coordinator,35%,787,2343,0.33589415279556123,Sales & Marketing
Car Driver,35%,60,505,0.1188118811881188,Hospitality
Carrier,35%,62,529,0.11720226843100189,Communication & PR
Construction Driver,35%,200,756,0.26455026455026454,Data & IT
Contract Driver,35%,174,672,0.25892857142857145,Administrative & Clerical
Courier,35%,177,680,0.26029411764705884,Leadership & Strategy
Forklift Driver,35%,160,648,0.24691358024691357,Medical & Healthcare
Tanker,35%,62,373,0.16621983914209115,Supply Chain & Logistics
Taxi Driver,35%,93,383,0.24281984334203655,Law Enforcement
Assistant Restaurant Manager,35%,142,1006,0.1411530815109344,Construction
Banquet Captain,35%,101,793,0.1273644388398487,Sales & Marketing
Brewer,35%,55,508,0.10826771653543307,Hospitality
Chef Manager,35%,90,740,0.12162162162162163,Communication & PR
Executive Chef,35%,299,1007,0.2969215491559086,Data & IT
Food Production Worker,35%,260,953,0.2728226652675761,Administrative & Clerical
Front Of House Manager,35%,443,1432,0.30935754189944137,Leadership & Strategy
Front Office Supervisor,35%,468,1627,0.2876459741856177,Medical & Healthcare
Greeter,35%,277,900,0.30777777777777776,Supply Chain & Logistics
Hotel Front Office Manager,35%,475,1545,0.3074433656957929,Law Enforcement
Hotel General Manager,35%,425,1271,0.33438237608182536,Construction
Hotel Operations Manager,35%,429,1275,0.33647058823529413,Sales & Marketing
Contract Negotiator,35%,397,1238,0.32067851373182554,Hospitality
Housing Specialist,35%,441,1408,0.3132102272727273,Communication & PR
Proposal Specialist,35%,988,3459,0.2856316854582249,Data & IT
Analytical Chemist,35%,114,757,0.15059445178335534,Administrative & Clerical
Cytogenetic Technologist,35%,337,1150,0.29304347826086957,Leadership & Strategy
Food Scientist,35%,340,1184,0.28716216216216217,Medical & Healthcare
Food Technologist,35%,336,1179,0.28498727735368956,Supply Chain & Logistics
Laboratory Assistant,35%,456,1497,0.3046092184368738,Law Enforcement
Patent Agent,35%,641,2233,0.28705776981639053,Construction
Taxonomist,35%,661,2244,0.2945632798573975,Sales & Marketing
Accounting Consultant,35%,240,1585,0.15141955835962145,Hospitality
Accounting Technician,35%,213,1460,0.14589041095890412,Communication & PR
Accounts Receivable Clerk,35%,217,1451,0.14955203308063406,Data & IT
Appraiser,35%,177,1268,0.13958990536277602,Administrative & Clerical
Broker Assistant,35%,207,1467,0.1411042944785276,Leadership & Strategy
Commercial Loan Officer,35%,441,1284,0.34345794392523366,Medical & Healthcare
Commodity Trader,35%,444,1360,0.3264705882352941,Supply Chain & Logistics
Corporate Accountant,35%,486,1586,0.3064312736443884,Law Enforcement
Entry Level Accountant,35%,481,1585,0.3034700315457413,Construction
Equity Trader,35%,443,1351,0.32790525536639525,Sales & Marketing
Financial Accountant,35%,483,1572,0.30725190839694655,Hospitality
Fund Accounting Manager,35%,483,1612,0.29962779156327546,Communication & PR
General Accountant,35%,466,1545,0.3016181229773463,Data & IT
General Ledger Accountant,35%,466,1543,0.3020090732339598,Administrative & Clerical
Investment Banking Analyst,35%,478,1461,0.3271731690622861,Leadership & Strategy
Private Equity Analyst,35%,721,2283,0.3158125273762593,Medical & Healthcare
Risk Analyst,35%,725,2289,0.3167321974661424,Supply Chain & Logistics
Treasury Manager,35%,704,2184,0.32234432234432236,Law Enforcement
Clinic Receptionist,35%,241,1566,0.15389527458492977,Construction
Dental Receptionist,35%,461,1651,0.27922471229557844,Sales & Marketing
Front Office Assistant,35%,470,1642,0.2862362971985384,Hospitality
Yard Jockey,35%,314,1178,0.266553480475382,Communication & PR
Associate Consultant,35%,289,1784,0.16199551569506726,Data & IT
Consultant,35%,495,1511,0.32759761747187294,Administrative & Clerical
Financial Consultant,35%,486,1547,0.3141564318034906,Leadership & Strategy
Technical Consultant,35%,1240,4070,0.3046683046683047,Medical & Healthcare
Technology Consultant,35%,1236,4064,0.30413385826771655,Supply Chain & Logistics
Product Demonstrator,35%,911,3170,0.28738170347003156,Law Enforcement
Promotions Manager,35%,1044,3723,0.28041901692183724,Construction
Purchasing Agent,35%,853,3098,0.2753389283408651,Sales & Marketing
Special Events Coordinator,35%,1071,3790,0.2825857519788918,Hospitality
Assistant Project Manager,35%,311,1980,0.15707070707070708,Communication & PR
Associate Product Manager,35%,316,2008,0.15737051792828685,Data & IT
Product Director,35%,995,3281,0.30326120085339836,Administrative & Clerical
Product Owner,35%,1045,3492,0.2992554410080183,Leadership & Strategy
Project Estimator,35%,865,2706,0.319660014781966,Medical & Healthcare
Project Lead,35%,1053,3454,0.3048639258830342,Supply Chain & Logistics
Project Leader,35%,1051,3453,0.30437300897770053,Law Enforcement
Project Management Specialist,35%,1070,3480,0.3074712643678161,Construction
Inventory Specialist,35%,524,1687,0.3106105512744517,Sales & Marketing
Merchandising Assistant,35%,873,3073,0.2840872111942727,Hospitality
Stock Manager,35%,661,2265,0.291832229580574,Communication & PR
Architectural Drafter,35%,137,1204,0.11378737541528239,Data & IT
Drilling Supervisor,35%,232,792,0.29292929292929293,Administrative & Clerical
General Contractor,35%,299,939,0.3184238551650692,Leadership & Strategy
Safety Professional,35%,574,1964,0.29226069246435843,Medical & Healthcare
Safety Specialist,35%,570,1958,0.29111338100102147,Supply Chain & Logistics
Adjuster,35%,222,1451,0.15299793246037216,Law Enforcement
Claim Specialist,35%,236,1511,0.15618795499669094,Construction
Claims Examiner,35%,238,1561,0.15246636771300448,Sales & Marketing
Claims Representative,35%,240,1572,0.15267175572519084,Hospitality
Insurance Broker,35%,441,1376,0.32049418604651164,Communication & PR
Policy Advisor,35%,736,2378,0.30950378469301937,Data & IT
Mobile Phlebotomist,35%,147,467,0.3147751605995717,Administrative & Clerical
Orthopedic Technician,35%,174,673,0.2585438335809807,Leadership & Strategy
Aircraft Assembler,35%,64,518,0.12355212355212356,Medical & Healthcare
Aircraft Maintenance Technician,35%,68,536,0.12686567164179105,Supply Chain & Logistics
Aircraft Mechanic,35%,69,546,0.12637362637362637,Law Enforcement
Auto Mechanic,35%,70,573,0.12216404886561955,Construction
Auto Technician,35%,70,573,0.12216404886561955,Sales & Marketing
Automotive Mechanic,35%,70,573,0.12216404886561955,Hospitality
Automotive Technician,35%,70,573,0.12216404886561955,Communication & PR
Aviation Maintenance Technician,35%,68,536,0.12686567164179105,Data & IT
Aviation Mechanic,35%,67,527,0.127134724857685,Administrative & Clerical
Car Mechanic,35%,66,525,0.12571428571428572,Leadership & Strategy
Copier Technician,35%,232,884,0.26244343891402716,Medical & Healthcare
Diesel Mechanic,35%,206,740,0.27837837837837837,Supply Chain & Logistics
Diesel Technician,35%,209,744,0.28091397849462363,Law Enforcement
Fire Alarm Technician,35%,218,777,0.2805662805662806,Construction
Generator Technician,35%,232,841,0.27586206896551724,Sales & Marketing
Gse Mechanic,35%,199,736,0.2703804347826087,Hospitality
Hvac,35%,204,765,0.26666666666666666,Communication & PR
Hvac Mechanic,35%,206,807,0.2552664188351921,Data & IT
Lead Technician,35%,428,1196,0.35785953177257523,Administrative & Clerical
Materials Planner,35%,752,2426,0.3099752679307502,Leadership & Strategy
Office Cleaning,35%,67,416,0.16105769230769232,Medical & Healthcare
Prepress,35%,546,2241,0.24364123159303883,Supply Chain & Logistics
Prepress Technician,35%,548,2232,0.24551971326164876,Law Enforcement
Telecom Technician,35%,637,1938,0.3286893704850361,Construction
Upholsterer,35%,325,1265,0.25691699604743085,Sales & Marketing
Wire Technician,35%,527,1641,0.3211456429006703,Hospitality
Assistant Designer,35%,226,1888,0.11970338983050847,Communication & PR
Cnc Operator,35%,89,611,0.14566284779050737,Data & IT
Inventory Associate,35%,536,1848,0.29004329004329005,Administrative & Clerical
Inventory Clerk,35%,530,1840,0.28804347826086957,Leadership & Strategy
Lathe Operator,35%,200,820,0.24390243902439024,Medical & Healthcare
Manufacturing Process Engineer,35%,715,2635,0.2713472485768501,Supply Chain & Logistics
Night Stocker,35%,312,1108,0.2815884476534296,Law Enforcement
Overnight Stocker,35%,320,1114,0.2872531418312388,Construction
Penetration Tester,35%,668,2047,0.32633121641426477,Sales & Marketing
Peoplesoft Developer,35%,957,3052,0.313564875491481,Hospitality
Programmer Analyst,35%,979,3054,0.3205631958087754,Communication & PR
Salesforce Developer,35%,1004,3228,0.3110285006195787,Data & IT
Sharepoint Administrator,35%,1002,3274,0.30604764813683566,Administrative & Clerical
Business Development Analyst,35%,338,2185,0.15469107551487415,Leadership & Strategy
Business Development Associate,35%,340,2190,0.1552511415525114,Medical & Healthcare
Business Development Specialist,35%,341,2193,0.15549475604195168,Supply Chain & Logistics
Financial Reporting Analyst,35%,532,1624,0.3275862068965517,Law Enforcement
Financial Risk Analyst,35%,517,1584,0.3263888888888889,Construction
Gis Analyst,35%,511,1434,0.3563458856345886,Sales & Marketing
Program Analyst,35%,970,3248,0.2986453201970443,Hospitality
Transportation Analyst,35%,815,2451,0.3325173398612811,Communication & PR
Data Manager,35%,611,1771,0.3450028232636928,Data & IT
Geospatial Analyst,35%,506,1430,0.35384615384615387,Administrative & Clerical
Gis Technician,35%,494,1408,0.3508522727272727,Leadership & Strategy
Oracle Dba,35%,961,3055,0.31456628477905074,Medical & Healthcare
Graphics Designer,35%,631,2347,0.2688538559863656,Supply Chain & Logistics
Senior Graphic Designer,35%,857,3006,0.2850964737192282,Law Enforcement
Employee Relations Specialist,35%,467,1469,0.31790333560245065,Construction
Human Resources Representative,35%,469,1525,0.30754098360655735,Sales & Marketing
Onboarding Specialist,35%,955,3349,0.28515974917885933,Hospitality
Payroll Supervisor,35%,718,2405,0.29854469854469856,Communication & PR
Special Events Manager,35%,1049,3671,0.28575320076273497,Data & IT
Telephone Interviewer,35%,924,2765,0.3341772151898734,Administrative & Clerical
Training Specialist,35%,1018,3114,0.3269107257546564,Leadership & Strategy
Corporate Paralegal,35%,458,1638,0.2796092796092796,Medical & Healthcare
Juvenile Probation Officer,35%,429,1323,0.3242630385487528,Supply Chain & Logistics
Legal Receptionist,35%,463,1700,0.2723529411764706,Law Enforcement
Legislative Assistant,35%,774,2532,0.3056872037914692,Construction
Patent Examiner,35%,607,2133,0.2845757149554618,Sales & Marketing
Family Support Specialist,35%,450,1548,0.29069767441860467,Hospitality
Family Support Worker,35%,454,1560,0.29102564102564105,Communication & PR
Field Organizer,35%,452,1389,0.3254139668826494,Data & IT
Organizer,35%,823,3094,0.26599870717517776,Administrative & Clerical
Business Partner,35%,319,2087,0.1528509822712027,Leadership & Strategy
Operations Analyst,35%,939,3006,0.312375249500998,Medical & Healthcare
Strategic Planner,35%,935,3451,0.270935960591133,Supply Chain & Logistics
Strategist,35%,926,3429,0.2700495771361913,Law Enforcement
Workforce Analyst,35%,771,2290,0.33668122270742357,Construction
Business Development Consultant,35%,346,2218,0.15599639314697927,Sales & Marketing
Business Development Director,35%,348,2223,0.15654520917678813,Hospitality
Business Development Manager,35%,352,2227,0.15806017063313876,Communication & PR
Client Manager,35%,353,2216,0.1592960288808664,Data & IT
Commercial Account Manager,35%,374,2294,0.16303400174367916,Administrative & Clerical
Commercial Sales Manager,35%,376,1109,0.3390441839495041,Leadership & Strategy
Hvac Sales,35%,309,1062,0.2909604519774011,Medical & Healthcare
Online Sales Manager,35%,998,3082,0.3238157040882544,Supply Chain & Logistics
Regional Sales Manager,35%,1003,3153,0.31810973675864257,Law Enforcement
Relationship Manager,35%,967,3049,0.317153164972122,Construction
Sales Consultant,35%,996,3045,0.3270935960591133,Sales & Marketing
Sales Coordinator,35%,997,3135,0.3180223285486443,Hospitality
Senior Sales Executive,35%,973,3033,0.3208044840092318,Communication & PR
Acute Care Nurse Practitioner,35%,119,796,0.14949748743718594,Data & IT
Neonatal Nurse Practitioner,35%,229,825,0.2775757575757576,Administrative & Clerical
Nursing,35%,237,882,0.2687074829931973,Leadership & Strategy
Staff Nurse,35%,236,841,0.2806183115338882,Medical & Healthcare
Environmental Specialist,35%,376,1239,0.30347054075867635,Supply Chain & Logistics
Staffing Recruiter,35%,870,2826,0.3078556263269639,Law Enforcement
Aircraft Engineer,35%,93,688,0.13517441860465115,Construction
Asic Design Engineer,35%,98,699,0.1402002861230329,Sales & Marketing
Circuit Design Engineer,35%,96,697,0.13773314203730272,Hospitality
Dsp Engineer,35%,438,1225,0.3575510204081633,Communication & PR
Field Application Engineer,35%,444,1220,0.3639344262295082,Data & IT
Field Service Engineer,35%,425,1217,0.3492193919474117,Administrative & Clerical
Ic Design Engineer,35%,448,1243,0.3604183427192277,Leadership & Strategy
Integration Engineer,35%,525,1396,0.37607449856733527,Medical & Healthcare
Chemistry Tutor,35%,117,730,0.16027397260273973,Supply Chain & Logistics
Childcare Teacher,35%,125,884,0.1414027149321267,Law Enforcement
Computer Science Tutor,35%,418,1297,0.32228218966846567,Construction
Director Of Education,35%,438,1326,0.33031674208144796,Sales & Marketing
Grant Coordinator,35%,499,1630,0.3061349693251534,Hospitality
Hvac Instructor,35%,273,917,0.29770992366412213,Communication & PR
Instructor,35%,406,1238,0.32794830371567046,Data & IT
Library Media Specialist,35%,720,2380,0.3025210084033613,Administrative & Clerical
School Librarian,35%,694,2295,0.30239651416122004,Leadership & Strategy
Vocational Counselor,35%,713,2178,0.3273645546372819,Medical & Healthcare
Clinical Research Coordinator,35%,294,1874,0.1568836712913554,Supply Chain & Logistics
Clinical Research Manager,35%,294,1874,0.1568836712913554,Law Enforcement
Health Coach,35%,404,1322,0.30559757942511345,Construction
